inference-lb-1  | 127.0.0.1:38872 [23/Oct/2025:17:09:00.867] inference_fe inference_be/srv1 0/0/0/2/2 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:38882 [23/Oct/2025:17:09:05.986] inference_fe inference_be/srv2 0/0/0/2/2 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:46982 [23/Oct/2025:17:09:11.085] inference_fe inference_be/srv1 0/0/0/4/4 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:46994 [23/Oct/2025:17:09:16.208] inference_fe inference_be/srv2 0/0/0/2/2 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:47334 [23/Oct/2025:17:09:21.325] inference_fe inference_be/srv1 0/0/0/4/4 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:47344 [23/Oct/2025:17:09:26.430] inference_fe inference_be/srv2 0/0/0/2/2 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:60260 [23/Oct/2025:17:09:31.525] inference_fe inference_be/srv1 0/0/0/3/3 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:60268 [23/Oct/2025:17:09:36.620] inference_fe inference_be/srv2 0/0/0/3/3 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:45204 [23/Oct/2025:17:09:41.720] inference_fe inference_be/srv1 0/0/0/3/3 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:45218 [23/Oct/2025:17:09:46.852] inference_fe inference_be/srv2 0/0/0/2/3 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:35450 [23/Oct/2025:17:09:51.970] inference_fe inference_be/srv1 0/0/0/2/3 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:34064 [23/Oct/2025:17:09:57.084] inference_fe inference_be/srv2 0/0/0/3/3 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:34072 [23/Oct/2025:17:10:02.194] inference_fe inference_be/srv1 0/0/0/3/3 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:41512 [23/Oct/2025:17:10:07.302] inference_fe inference_be/srv2 0/0/0/3/3 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:41516 [23/Oct/2025:17:10:12.422] inference_fe inference_be/srv1 0/0/0/4/4 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:38008 [23/Oct/2025:17:10:17.520] inference_fe inference_be/srv2 0/0/0/2/2 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:38022 [23/Oct/2025:17:10:22.605] inference_fe inference_be/srv1 0/0/0/3/3 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:50532 [23/Oct/2025:17:10:27.695] inference_fe inference_be/srv2 0/0/0/1/1 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:50548 [23/Oct/2025:17:10:32.804] inference_fe inference_be/srv1 0/0/0/3/3 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:48968 [23/Oct/2025:17:10:37.910] inference_fe inference_be/srv2 0/0/0/2/2 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:48970 [23/Oct/2025:17:10:43.022] inference_fe inference_be/srv1 0/0/1/2/3 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:36462 [23/Oct/2025:17:10:48.121] inference_fe inference_be/srv2 0/0/0/3/3 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:36472 [23/Oct/2025:17:10:53.238] inference_fe inference_be/srv1 0/0/0/3/3 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:55148 [23/Oct/2025:17:10:58.342] inference_fe inference_be/srv2 0/0/0/2/2 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:55154 [23/Oct/2025:17:11:03.459] inference_fe inference_be/srv1 0/0/0/3/3 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:59558 [23/Oct/2025:17:11:08.562] inference_fe inference_be/srv2 0/0/0/4/4 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:59568 [23/Oct/2025:17:11:13.679] inference_fe inference_be/srv1 0/0/0/4/5 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:36310 [23/Oct/2025:17:11:18.771] inference_fe inference_be/srv2 0/0/0/2/3 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:36316 [23/Oct/2025:17:11:23.873] inference_fe inference_be/srv1 0/0/0/2/2 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:38828 [23/Oct/2025:17:11:28.977] inference_fe inference_be/srv2 0/0/0/2/2 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 127.0.0.1:38842 [23/Oct/2025:17:11:34.094] inference_fe inference_be/srv1 0/0/0/2/2 200 226 - - ---- 1/1/0/0/0 0/0 "GET /healthz HTTP/1.1"
