inference-lb-1  | 172.18.0.1:51874 [23/Oct/2025:18:03:36.694] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/59/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:51508 [23/Oct/2025:18:03:36.694] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/59/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:51836 [23/Oct/2025:18:03:28.757] inference_fe inference_be/srv1 0/0/0/7853/7941 200 479 - - ---- 200/200/58/58/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:51744 [23/Oct/2025:18:03:36.700] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/58/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52252 [23/Oct/2025:18:03:36.736] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/58/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52000 [23/Oct/2025:18:03:28.933] inference_fe inference_be/srv1 0/0/0/7739/7802 200 479 - - ---- 200/200/57/57/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52640 [23/Oct/2025:18:03:36.736] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/57/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:51424 [23/Oct/2025:18:03:36.741] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/57/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:51686 [23/Oct/2025:18:03:36.744] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/57/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52464 [23/Oct/2025:18:03:28.669] inference_fe inference_be/srv1 0/0/0/8014/8094 200 479 - - ---- 200/200/56/56/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:51610 [23/Oct/2025:18:03:36.764] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/56/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52890 [23/Oct/2025:18:03:36.768] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/56/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52960 [23/Oct/2025:18:03:36.778] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/56/0/0 0/0 "POST /predict HTTP/1.1"
